Date,Original Content,Translation
4/15/2019,"하나만 고르기 어려운 12가지 매력적인 컬러 <아뮤즈백>
신규 컬렉션 'EDEN' 으로 더 다양해진 아뮤즈백을 만나세요.","12 attractive colors that are hard to choose from
Meet our new collection 'EDEN' which has become more diverse."
4/15/2019,"은근하게 눈길을 끄는 감각적인 컬러 <아뮤즈백>
EDEN; Eve and Hawwah 신규 컬렉션 출시","a subtle eye-catching color <Amuseback>
EDEN; Launching a New Collection of Eve and Hawwah"
4/15/2019,"EDEN; Eve and Hawwah
몽환적인 자연의 온도를 그대로 옮겨담은 <아뮤즈백>","EDEN; Eve and Hawwah
<Amuseback> that moves the dreamy natural temperature."
4/15/2019,"EDEN; Eve and Hawwah
뮤트뮤즈의 새로운 컬렉션 <에덴>은 
아담과 이브가 아닌 이브와 하와가 거닐고 있는
또다른 에덴의 모습을 상상한다.","EDEN; Eve and Hawwah
The new Mutmuse collection Eden 
Not Adam and Eve but Eve and Hawaii walking around.
I imagine another Eden."
4/15/2019,"EDEN; Eve and Hawwah
“태초에 이브와 하와가 있었다.”
비현실적인 채도의 녹음이 흐드러진
어디에도 없는 유토피아의 기묘하고 원초적인 풍경.
뮤트뮤즈의 새로운 컬렉션 <에덴>","EDEN; Eve and Hawwah
In the beginning there was Eve and Hawaii.
Unrealistic recording
the quaint primitive scenery of utopia nowhere to be found
Mutemuse's new collection Eden"
4/15/2019,"Introducing MUTEMUSE's New Collection
{ EDEN; Eve and Hawwah }
“Eve and Hawwah in the beginning of times.”
Depicting the strange and primitive nature of the surreal utopia <EDEN> illustrates the story of Adam and Eve retold as the garden of Eve and Hawwah.
Dancing through a silent ritual the highly saturated scenes capture the ultimate peculiarity. The Amuse Bags are oddly portrayed as the bearing fruits of the paradise unknown.
*’Hawwah’ meaning ‘mother of all life’ in Hebrew translates to ‘Eve’ in Latin; the two are identical people.","Introducing MUTEMUSE's New Collection
{ EDEN; Eve and Hawwah }
“Eve and Hawwah in the beginning of times.”
Depicting the strange and primitive nature of the surreal utopia <EDEN> illustrates the story of Adam and Eve retold as the garden of Eve and Hawwah.
Dancing through a silent ritual the highly saturated scenes capture the ultimate peculiarity. The Amuse Bags are oddly portrayed as the bearing fruits of the paradise unknown.
*’Hawwah’ meaning ‘mother of all life’ in Hebrew translates to ‘Eve’ in Latin; the two are identical people."
,,
3/8/2019,"3월 8일 '세계 여성의 날'을 기념하여 'Bad Girls' 카르멘 레드 스트랩을 출시합니다.
한정판 Bad Girls 레드 스트랩의 판매 수익금은 NGO 단체 Save the Children 의 글로벌 캠페인인 <Girls Education>에 전액 기부 될 예정입니다.
<Girls Go Everywhere> 캠페인에 고객님의 관심과 성원 부탁드립니다.",
1/10/2019,"LUNATIC '루나틱' 와이드 스트랩 + 아뮤즈백
은근하게 눈길을 끄는 감각적인 컬러. 옐로우 | 블루 | 라벤더 (New)",
1/10/2019,"LUNATIC '루나틱' 와이드 스트랩 + 매거진백
은근하게 눈길을 끄는 감각적인 컬러. 옐로우 | 블루 | 라벤더 (New",
1/3/2019,"맥북부터 파우치 플래너까지 모두 담는 수납력 <매거진백>
낮은 채도의 깊고 고요한 존재감",
1/3/2019,"흑백 영화에 색채를 입힌 듯 매혹적인 미장센
구조적인 실루엣과 절제된 디자인 <매거진백>",
