Date,Original Content,Translation
6/16/2019,"가벼운 블랙 재킷에 데님팬츠와 함께 클래식한 #캐롤린백 의 조합
심플하고 세련되인답니다 :)
고마워요","A combination of classic #Carolyn bag with light black jacket and denim pants.
Simple and refined :)
Thank you."
6/16/2019,모나미백은 캔버스소재와 가죽소재가 섞인 하드한 타입의 #버킷백 입니다. 편안한 스타일에 매치하여 자연스러운 위켄드 룩을 연출해보세요.,Monami bag is a hard type # bucket bag that mixes canvas and leather. Create a natural weekend look that matches your comfortable style.
6/15/2019,"화이트 블라우스와 스커트 그리고 화이트 #캐롤린백 을 매치한 스타일리스트 쭉 뻗은 저 다리라인 무엇
캐주얼한 데일리룩부터 드레시한 이브닝룩까지 어울리는 캐롤린백의 매력에 빠져보세요","White blouses skirts and white #Carolyn bag matching stylists. What's that stretch of legs?
Get into Carolynback's charm from casual Daily Look to Dressy Evening Look."
6/9/2019,심플한 원피스나 다양한 데일리룩과 무난하게 매치하기 좋은 모나미백이죠,It's a simple dress a variety of daily looks and a nice monami bag to match.
6/9/2019,"My Bag Today 
외출하기 직전 여러분의 백에는 무엇이 담기나요? 
우연히 백이 쏟아졌을 때 각자 어떤 아이템이 나올지 상상해본 적 있어요. 
립스틱 책 스마트폰 보틀 등 취향만큼 달라지는 소지품을 구경하는 즐거움이 있으니까요. 
자신의 일부 자신의 조각을 담는 백은 
그래서 단순한 패션 아이템 이상의 의미로 다가오는 것 같아요. 
아밤 캐롤린 백이라면 매일 새로운 스토리를 함께 만들기 좋은 친구가 될 것입니다.","My Bag Today 
Just before going out what does your bag contain? 
I've imagined what kind of items each person would have when I dropped my bag by accident. 
It's a pleasure to see things that change as much as your tastes such as lipstick books smartphones and booty. 
Bags hold a part of you
So I think it's more than just a fashion item. 
Abam Carolyn Bag will be a good friend to make a new story together every day."
6/8/2019,"모나미백(Mon Ami Bag)
모나미백(Mon ami Bag)입니다. 흔히 만날 수 없는 유니크한 디자인 모던함 가운데 경쾌한 무드까지 놓치지 않은 백이죠. 셔츠 드레스와 매치해도 좋고 의외로 캐주얼한 트레닝룩에도 잘 어울릴 거예요. 레더 스트랩을 제공해서 토트백과 숄더백으로 모두 사용할 수 있는 모나미백. 스타일링을 마치고 어떤 백을 선택해야 할지 고민 될 때 친한 친구처럼 자주 손이 가는 백이 되길 바래요.","Mon Ami Bag
It's Mon ami Bag. Unique design modernity and cheerful mood. You can match your shirt dress and it will match your casual running look. Mon ami bag which provides a ladder strap for use with both a tote bag and a shoulder bag. When you're thinking about which bag to choose after styling I hope you'll be like a close friend."
6/6/2019,"모나미백(Mon Ami Bag)
모나미백(Mon ami Bag)입니다. 흔히 만날 수 없는 유니크한 디자인 모던함 가운데 경쾌한 무드까지 놓치지 않은 백이죠. 셔츠 드레스와 매치해도 좋고 의외로 캐주얼한 트레닝룩에도 잘 어울릴 거예요. 레더 스트랩을 제공해서 토트백과 숄더백으로 모두 사용할 수 있는 모나미백. 스타일링을 마치고 어떤 백을 선택해야 할지 고민 될 때 친한 친구처럼 자주 손이 가는 백이 되길 바래요.","Mon Ami Bag
It's Mon ami Bag. Unique design modernity and cheerful mood. You can match your shirt dress and it will match your casual running look. Mon ami bag which provides a ladder strap for use with both a tote bag and a shoulder bag. When you're thinking about which bag to choose after styling I hope you'll be like a close friend."
6/5/2019,"모나미백에 센스있게 키링을 달아 연출한 
모나미백은 가벼운 원피스나 셔츠 스타일에 무난하게 들어주기 좋답니다","A sensibly keyed mon ami bag. 
Mon ami bag is good for light dress or shirt style."
6/1/2019,블랙 오버사이즈 재킷과 크롭탑 그리고 유행 아이템인 싸이클링 쇼츠에 클래식하고 빈티지한 무드를 지닌 #캐롤린백 을 매치한 모델 스완의 데일리룩을 주목해주세요! ,Attention to Swan's Daily Look a classic vintage moot with a black oversized jacket crop top and a classic vintage mood for the cycling show!
5/30/2019,"사랑스러운 곰돌이 프린트의 피켓티와 화이트데님 블랙가죽벨트와 블랙 #캐롤린백 을 #토트 로 들어 데일리룩을 연출한 모델 메구에게 박수를 
빈티지한 금테 안경 포인트로 레트로 감성도 시도해보세요 메구처럼 ","Lovely bear print picketti and white denim black leather belt and black #Carolyn bag as #tote. applaud Megu the model who produced the Daily Look. 
Try retro sensitivity with vintage gold-rimmed spectacles. "
5/22/2019,모나미백 화이트 컬러입니다 화창한 날의 연속인데요 사진처럼 가볍고 심플하게 블루스트리이프 원피스나 셔츠와 매치해 캐주얼한 스타일에 매치하기 좋아요 한껏 화사해보여요 항상 감사합니다,It's a mon ami bag white color. It's a series of sunny days light and simple matching blue stripe dress and shirts to match casual style. You look as bright as you can. Thank you all the time.
5/22/2019,"CONCEPT
많은 브랜드에서 계절이 바뀔 때마다 앞다투어 신제품을 출시합니다. 아밤도 마찬가지고요. 한창 신제품 라인업 정리를 마무리하던 중 이클립스 백처럼 시간을 초월해 언제든지 들고 싶은 오랜만에 옷장에서 꺼내어 들어도 어색함이 없는 클래식한 백을 만들고 싶었습니다. 신제품이지만 단순한 ‘신상’의 의미를 넘어서길 원했어요. 그래서 엘리게이터 패턴이 돋보이는 레더를 사용한 캐롤린 백이 탄생했습니다. 컬러도 블랙 화이트 버건디 머스타드처럼 베이직하면서 세련됨을 잃지 않는 색으로 선택했어요. 아밤이 애정하는 건축적 셰이프 하드한 소재 활용도 높은 사이즈 등 쟈드백의 미학은 셀 수 없습니다. 들면 들수록 손에 익으면 익을수록 더 멋스럽게 변해가는 캐롤린 백의 아름다움을 공유할 수 있기를 바래요.
-
STYLING
아밤을 아껴주시는 고객분들이 첫 번째로 칭찬해주시는 부분이 바로 어떤 스타일링에도 잘 어울리는 백이라는 점인데요. 캐롤린 백은 엘리게이터 패턴이 낯선 분이라도 어렵지 않게 소화할 수 있을 것이라 자신합니다. 트렌치 코트 오버 사이즈 재킷 데님 원피스 등 어디에 매치해도 특유의 존재감을 잃지 않으면서 시선을 끄는 백이 될 거예요. 블랙 미니 백을 소장하고 있다면 버건디나 화이트 컬러의 캐롤린 백을 추천합니다. 화이트는 의외로 사계절 내내 쿨한 무드로 잘 어울리고요 버건디는 딥한 컬러 톤의 의상에 손쉽게 매치할 수 있어요. 머스터드 컬러 또한 어렵게 생각하지 마세요 생동감을 더하는 포인트가 될 수 있습니다.
매일 드는 백이어도 때때로 완전히 다른 백으로 느껴지는 가장 간편한 스타일링 노하우 스트랩에 변화를 주는 것인데요. 캐롤린 백 역시 기본적으로 두 개의 스트랩이 제공됩니다. 레더 스트랩과 더블 스트랩을 활용해 매일 새로운 백으로 스타일링에 폭넓게 활용해보세요. 또 플랫슈즈와 함께 프렌치 시크룩을 연출해보면 어떨까요? 친구와의 브런치 카페 투어 중요한 오피셜 미팅 등에도 함께 할 수 있습니다. 기존에 많은 사랑을 받았던 아밤 미뉘트 블라우스와 데님에 들어도 예쁠 것 같아요.
-
DETAIL
소재에 아낌없는 투자를 한다는 점 아밤을 몇 년 동안 지켜봐온 고객이라면 알아주실 것이라 믿습니다. 기본적으로 오픈백 디자인이지만 라운드 쉐이프의 핸들에 자석을 부착해 편하게 또 안심하고 사용할 수 있습니다. 여러 차례 직접 들어보고 다양한 의견을 반영해 견고하게 잘 만들어진 핸들은 쓸수록 만족하실 것이라 자신합니다. 들었을 때의 편안함을 위해 몇 번의 샘플링을 거친 만큼 토트백으로 사용해도 손에 착 붙는 듯한 사용감을 느끼실 거예요. 아밤 카드 월렛 스마트폰 립밤 핸드크림 등 최소한의 소지품만을 챙겨 가뿐하게 외출해보세요. 백 하나로 스타일링이 업그레이드 되는 경험 아밤 캐롤린 백으로 가능해집니다.","CONCEPT
Many brands are rushing to release new products every season. So is Avam. While I was finishing my new line-up I wanted to create a classic bag that I wanted to take out of my closet for the first time in a long time like Eclipse Bag. It's a new product but I wanted to go beyond the meaning of a simple ""new image."" So Carolyn Bag was born using a leather that had a pattern of alligator patterns. I chose colors like black white burgundy and mustard. We can't count the aesthetics of the Jard bag such as the architectural shape that Avam loves the hard materials and the high-utilization size. The more I lift it up the more I hope I can share the beauty of Carolyn Bag which becomes cooler as it ripens.
-
STYLING
The first thing you can say is that it's a perfect match for any styling. I am confident that even strangers to alligator pattern can easily use Carolyn bag. Trench coats oversized jackets denim one-piece dresses whatever they match will make you an eye-catching bag without losing your unique presence. If you have a black mini bag I recommend a burgundy or white Carolyn bag. White unexpectedly goes well with a cool mood throughout the four seasons and burgundy can easily match deep-colored outfits. Mustard color can also be a point of life don't think hard.
It's the simplest way to change your styling know-how which sometimes feels like a completely different bag even if it's a daily back language. Carolyn bags also come with two straps by default. Leverage redder straps and double straps to take advantage of them as new bags every day for styling. Why don't you do a French chic look with flat shoes? You can also attend brunch with friends cafe tours and important public meetings. I think it'll be nice to be in the same place as the previous favorite Avam Minute Blouse and Denim.
-
DETAIL
I'm sure any customer who's been watching Avam for years will know that Avam is investing heavily in materials. It's basically an open-back design but you can attach magnets to the handle of the round shape to make it easier and more comfortable to use. I'm sure you'll be satisfied with the rigidly well-made handle as you listen to it many times and reflect various opinions. Since you've sampled a few times for comfort when you listen to it you'll feel like you're sticking to your hand even with a backpack. Go out with your least belongings such as an Avam card wallet a smartphone lip balm and hand cream. Upgrading to a hundred styling experience Avam Carolyn bag."
5/19/2019,"캐롤린백 기본적으로 두 개의 스트랩이 제공됩니다. 레더 스트랩과 더블 스트랩을 활용해 매일 새로운 백으로 스타일링에 폭넓게 활용해보세요. 
또 플랫슈즈와 함께 프렌치 시크룩을 연출해보면 어떨까요? 친구와의 브런치 카페 투어 중요한 오피셜 미팅 등에도 함께 할 수 있습니다.","Carolyn bag comes with two straps by default. Leverage leather straps and double straps to take advantage of them as new bags every day for styling. 
Why don't you do a French chic look with flat shoes? You can also attend brunch with friends cafe tours and important public meetings."
5/16/2019,‘Picky Picky’ 신곡으로 컴백한 위키미키 #김도연 님이 아밤 모나미 백(Monami bag) 화이트 컬러로 음악방송 출근길을 장식했어요. 재킷을 응용한 화이트 원피스 브라운 레더 슈즈와 모나미백 화이트 스타일링한 클린 & 심플 룩이 그녀와 잘 어울리네요,WikiMiki #Kim Do-yeon who made a comeback with a new song decorated her way to work with a white color of Mon ami Bag at night. White dress with jacket brown leather shoes and monamibag white styled clean & simple look go well with her.
5/13/2019,모나미백은 레더 핸들과 숄더 스트랩이 있어 토트백과 숄더백 2Way로 활용이 가능한 모나미백인데요. 룩북 촬영 당시 스텝들이 소장하고 싶다며 선주문을 넣기도 할 정도로 호응을 얻었어요. 옷차림이 가벼워지는 계절에 특히 잘 어울릴 데일리 백이에요. 걸리시한 무드보다 조금 더 성숙하고 모던한 룩을 즐기는 여성을 위해 만들었다고 할까요? 베이직 아이템과 솔리드 컬러의 매력을 잘 아는 여성일테고요. 셔츠 원피스에 모나미백 하나만 들어줘도 예쁘고요 실크 셔츠와도 잘 어울립니다. 크림 컬러 캔버스 소재에 화이트와 블랙 브라운 트리밍 세 가지 컬러로 나뉘는데요. 화사하고 밝은 느낌을 원하시면 화이트 조금 더 단정하고 모던한 룩을 좋아하시면 블랙 또는 브라운 컬러를 선택하시면 어떨까요? 휴양지에서 라피아 햇과 커버업 선글라스와 선스틱 등을 넣고 사용해도 잘 어울릴 것 같아요.,Mon ami bag has a ladder handle and shoulder strap so it can be used as a double bag and a shoulder bag. When we filmed the lookbook we were so popular that we even put in pre-orders ourselves. It's a daily bag that will go particularly well with the lighter-dressing season. It's made for women who are a little more mature and enjoy a modern look than the imposing mood. I'm sure she knows the beauty of basic items and solid colors. It's pretty even if you hold a dress and a monamie bag and it goes well with a silk shirt. Cream color Canvas is divided into three colors: white and black brown trimming and so on. If you're looking for a bright and bright look why don't you choose a black or brown color? I think it'll look good on the vacation with rapia sun cover-up sunglasses and sunstick.
5/5/2019,많은 브랜드에서 계절이 바뀔 때마다 앞다투어 신제품을 출시합니다. 아밤도 마찬가지고요. 한창 신제품 라인업 정리를 마무리하던 중 이클립스 백처럼 시간을 초월해 언제든지 들고 싶은 오랜만에 옷장에서 꺼내어 들어도 어색함이 없는 클래식한 백을 만들고 싶었습니다. 신제품이지만 단순한 ‘신상’의 의미를 넘어서길 원했어요. 그래서 엘리게이터 패턴이 돋보이는 레더를 사용한 캐롤린 백이 탄생했습니다. 컬러도 블랙 화이트 버건디 머스타드처럼 베이직하면서 세련됨을 잃지 않는 색으로 선택했어요. 아밤이 애정하는 건축적 셰이프 하드한 소재 활용도 높은 사이즈 등 캐롤린백의 미학은 셀 수 없습니다. 들면 들수록 손에 익으면 익을수록 더 멋스럽게 변해가는 캐롤린 백의 아름다움을 공유할 수 있기를 바래요.,"Many brands are rushing to release new products every season. So is Avam. While I was finishing my new line-up I wanted to create a classic bag that I wanted to take out of my closet for the first time in a long time like Eclipse Bag. It's a new product but I wanted to go beyond the meaning of a simple ""new image."" So Carolyn Bag was born using a leather that had a pattern of alligator patterns. I chose colors like black white burgundy and mustard. Avam's beloved architectural shape hard materials and high-utilization sizes make Carolyn bag's aesthetics uncountable. The more I lift it up the more I hope I can share the beauty of Carolyn Bag which becomes cooler as it ripens."
5/2/2019,모나미백은 레더 핸들과 숄더 스트랩이 있어 토트백과 숄더백 2Way로 활용이 가능한 모나미백인데요. 룩북 촬영 당시 스텝들이 소장하고 싶다며 선주문을 넣기도 할 정도로 호응을 얻었어요. 옷차림이 가벼워지는 계절에 특히 잘 어울릴 데일리 백이에요. 걸리시한 무드보다 조금 더 성숙하고 모던한 룩을 즐기는 여성을 위해 만들었다고 할까요? 베이직 아이템과 솔리드 컬러의 매력을 잘 아는 여성일테고요. 셔츠 원피스에 모나미백 하나만 들어줘도 예쁘고요 실크 셔츠와도 잘 어울립니다. 크림 컬러 캔버스 소재에 화이트와 블랙 브라운 트리밍 세 가지 컬러로 나뉘는데요. 화사하고 밝은 느낌을 원하시면 화이트 조금 더 단정하고 모던한 룩을 좋아하시면 블랙 또는 브라운 컬러를 선택하시면 어떨까요? 휴양지에서 라피아 햇과 커버업 선글라스와 선스틱 등을 넣고 사용해도 잘 어울릴 것 같아요.,Mon ami bag has a ladder handle and shoulder strap so it can be used as a double bag and a shoulder bag. When we filmed the lookbook we were so popular that we even put in pre-orders ourselves. It's a daily bag that will go particularly well with the lighter-dressing season. It's made for women who are a little more mature and enjoy a modern look than the imposing mood. I'm sure she knows the beauty of basic items and solid colors. It's pretty even if you hold a dress and a monamie bag and it goes well with a silk shirt. Cream color Canvas is divided into three colors: white and black brown trimming and so on. If you're looking for a bright and bright look why don't you choose a black or brown color? I think it'll look good on the vacation with rapia sun cover-up sunglasses and sunstick.
4/29/2019,"모나미백(Mon Ami Bag)
아밤 2019 S/S 시즌의 새로운 백 모나미백(Mon ami Bag)입니다. 흔히 만날 수 없는 유니크한 디자인 모던함 가운데 경쾌한 무드까지 놓치지 않은 백이죠. 셔츠 드레스와 매치해도 좋고 의외로 캐주얼한 트레닝룩에도 잘 어울릴 거예요. 레더 스트랩을 제공해서 토트백과 숄더백으로 모두 사용할 수 있는 모나미백. 스타일링을 마치고 어떤 백을 선택해야 할지 고민 될 때 친한 친구처럼 자주 손이 가는 백이 되길 바래요.","Mon Ami Bag
Mon ami Bag the new back of the Avam 2019 S/S season. Unique design modernity and cheerful mood. You can match your shirt dress and it will match your casual running look. Mon ami bag which provides a ladder strap for use with both a tote bag and a shoulder bag. When you're thinking about which bag to choose after styling I hope you'll be like a close friend."
4/27/2019,아밤 뉴 컬렉션 중 좋은 반응을 얻고 있는 #캐롤린백 중에서 머스타드 컬러를 들었습니다. 시크한 블랙 미니 드레스에 선명한 포인트로 스타일링 해봤어요. 화이트 셔츠에 화이트 데님을 매치한 후 사진처럼 크로스로 매어주어도 예쁠 거예요. 혹은 레드와 핑크 오렌지 톤의 비비드한 원피스에 캐롤린 백 머스타드를 매치하는 것도 추천해요.,I heard mustard color from the #Carolyn bag that is getting a good response from the Avam's New collection. I've styled it with a chic black mini dress and sharp points. It would be nice to match a white denim with a white shirt and cross it like a picture. Or I recommend matching Carolyn back mustard to a vivid dress with red pink and orange tones.
4/25/2019,"베트남으로 출국한 걸그룹 위키미키 #김도연 님이 아밤 뉴 컬렉션 모나미백 화이트와 함께 했어요. 화이트 블라우스에 데님 스커트 화이트 앵클 부츠 스타일링과 모나미백으로 심플 & 로맨틱 공항패션을 선보이셨네요. 
아밤도 위키미키와 도연님을 늘 응원합니다.
-
레더 핸들과 숄더 스트랩이 있어 토트백과 숄더백 2Way로 활용이 가능한 모나미백인데요. 룩북 촬영 당시 스텝들이 소장하고 싶다며 선주문을 넣기도 할 정도로 호응을 얻었어요. 옷차림이 가벼워지는 계절에 특히 잘 어울릴 데일리 백이에요. 걸리시한 무드보다 조금 더 성숙하고 모던한 룩을 즐기는 여성을 위해 만들었다고 할까요? 베이직 아이템과 솔리드 컬러의 매력을 잘 아는 여성일테고요. 셔츠 원피스에 모나미백 하나만 들어줘도 예쁘고요 실크 셔츠와도 잘 어울립니다. 크림 컬러 캔버스 소재에 화이트와 블랙 브라운 트리밍 세 가지 컬러로 나뉘는데요. 화사하고 밝은 느낌을 원하시면 화이트 조금 더 단정하고 모던한 룩을 좋아하시면 블랙 또는 브라운 컬러를 선택하시면 어떨까요? 휴양지에서 라피아 햇과 커버업 선글라스와 선스틱 등을 넣고 사용해도 잘 어울릴 것 같아요.",Mon ami bag has a ladder handle and shoulder strap so it can be used as a double bag and a shoulder bag. When we filmed the lookbook we were so popular that we even put in pre-orders ourselves. It's a daily bag that will go particularly well with the lighter-dressing season. It's made for women who are a little more mature and enjoy a modern look than the imposing mood. I'm sure she knows the beauty of basic items and solid colors. It's pretty even if you hold a dress and a monamie bag and it goes well with a silk shirt. Cream color Canvas is divided into three colors: white and black brown trimming and so on. If you're looking for a bright and bright look why don't you choose a black or brown color? I think it'll look good on the vacation with rapia sun cover-up sunglasses and sunstick.
4/24/2019,모나미백은 아밤을 사랑하는 주변 친구들의 의견에서 시작했는데요 스마트폰과 메이크업 파우치 보조 배터리와 갖가지 소품을 넣을 수 있으면서 형태가 흐트러지지 않고 경쾌한 무드와 세련됨을 갖춘 백이 있었으면 좋겠다는 요청이었어요. 실제로 들었을 때 고급스러워야 하고요. 그래서 몇 차례 스케치를 거친 다음 최종적으로 쉐이프는 둥글게 캔버스와 레더를 믹스해서 모나미백이 탄생했어요. 흔히 볼 수 없는 디자인임에도 마치 원래 옷장에 있었던 것처럼 친근하게 데일리룩에 스며들 뉴 백을 원하신다면 모나미백이 제격입니다.,mon ami bag began with the opinions of friends who loved Avam who wanted to have a bag with a smartphone make-up pouch auxiliary battery and various props that were not disorganized cheerful moods and refined. You have to be luxurious when you hear it in real So after a few sketches the shape was rounded and the canvas and leather were mixed to create the mon ami bag. If you want a new bag to penetrate the Daily Look even though it's a rare design it will be as natural as if it were in the closet mon ami bag is perfect.
4/22/2019,아밤 2019 S/S 시즌을 위한 첫 번째 백 캐롤린(Caloryn)입니다. 힘있는 직선으로 이루어진 셰이프와 견고하게 잘 만들어진 핸들 클래식한 엘리게이터 패턴 레더가 특징인 백으로 들면 들수록 제품의 퀄리티에 만족할 수 있을 것이라 자신합니다. 블랙 버건디 화이트 머스타드 모두 네 가지 컬러로 출시하며 가죽 스트랩과 더블 스트랩 2가지를 기본으로 제공해 활용도를 높였습니다. 트렌드보다 온전한 자신만의 스타일을 완성하고 싶은 이들에게 추천하고 싶은 아밤의 백입니다.,Carolyn the first bag for the 2019 S/S season at night. With a powerful straight shape a well-made handle and a classic grille patterned ladder I'm confident that the more I lift it the more I'll be satisfied with the quality of the product. Black Burgundy White and Mustard all come in four colors with two standard leather straps and double straps for increased utilization. This is Abam's bag that I would like to recommend to those who want to complete their own style that is more complete
4/17/2019,모나미백은 아밤을 사랑하는 주변 친구들의 의견에서 시작했는데요 스마트폰과 메이크업 파우치 보조 배터리와 갖가지 소품을 넣을 수 있으면서 형태가 흐트러지지 않고 경쾌한 무드와 세련됨을 갖춘 백이 있었으면 좋겠다는 요청이었어요. 실제로 들었을 때 고급스러워야 하고요. 그래서 몇 차례 스케치를 거친 다음 최종적으로 쉐이프는 둥글게 캔버스와 레더를 믹스해서 모나미백이 탄생했어요. 흔히 볼 수 없는 디자인임에도 마치 원래 옷장에 있었던 것처럼 친근하게 데일리룩에 스며들 뉴 백을 원하신다면 모나미백이 제격입니다.,mon ami bag began with the opinions of friends who loved Avam who wanted to have a bag with a smartphone make-up pouch auxiliary battery and various props that were not disorganized cheerful moods and refined. You have to be luxurious when you hear it in real So after a few sketches the shape was rounded and the canvas and leather were mixed to create the mon ami bag. If you want a new bag to penetrate the Daily Look even though it's a rare design it will be as natural as if it were in the closet mon ami bag is perfect.
4/16/2019,모나미백은 아밤을 사랑하는 주변 친구들의 의견에서 시작했는데요 스마트폰과 메이크업 파우치 보조 배터리와 갖가지 소품을 넣을 수 있으면서 형태가 흐트러지지 않고 경쾌한 무드와 세련됨을 갖춘 백이 있었으면 좋겠다는 요청이었어요. 실제로 들었을 때 고급스러워야 하고요. 그래서 몇 차례 스케치를 거친 다음 최종적으로 쉐이프는 둥글게 캔버스와 레더를 믹스해서 모나미백이 탄생했어요. 흔히 볼 수 없는 디자인임에도 마치 원래 옷장에 있었던 것처럼 친근하게 데일리룩에 스며들 뉴 백을 원하신다면 모나미백이 제격입니다.,mon ami bag began with the opinions of friends who loved Avam who wanted to have a bag with a smartphone make-up pouch auxiliary battery and various props that were not disorganized cheerful moods and refined. You have to be luxurious when you hear it in real So after a few sketches the shape was rounded and the canvas and leather were mixed to create the mon ami bag. If you want a new bag to penetrate the Daily Look even though it's a rare design it will be as natural as if it were in the closet mon ami bag is perfect.
